Thương hiệu,Dòng xe,Loại xe,Xuất xứ,Khoảng giá min,Khoảng giá max,Năm đăng ký,Số Km đã đi,Giá
8,54,2,6,11.52,13.52,2004,100000,1.0
17,33,1,6,4.18,4.91,2011,1234,4.9
8,2,1,6,8.6,10.1,2009,57000,10.5
9,13,1,7,11.13,13.07,2023,3340,13.0
8,2,1,2,13.83,16.24,2013,800000,7.5
14,3,1,6,3.24,3.8,2010,100000,4.0
8,27,1,2,23.96,28.12,2019,25403,27.0
8,53,1,6,12.15,14.27,2014,55555,11.5
8,42,1,7,55.2,64.8,2017,11000,147.0
8,51,1,7,31.94,37.49,2020,510000,28.8
17,16,0,7,23.55,27.65,2025,2,550.0
17,46,2,7,7.98,9.37,2016,15000,7.2
8,42,1,7,111.87,131.33,2011,38000,120.0
8,27,1,2,23.96,28.12,2019,25400,30.0
8,57,0,6,17.08,20.05,2020,13000,14.5
8,11,2,2,11.52,13.52,2001,4382,15.0
17,33,1,6,4.18,4.91,2011,1234,4.7
17,34,1,2,8.9,10.44,2015,37000,7.5
8,54,2,6,11.68,13.71,2019,12000,13.9
14,3,1,6,2.7,3.17,2007,21020,3.5
17,16,0,6,41.9,49.18,2010,29800,43.5
8,8,2,7,10.12,11.88,2022,4800,10.0
8,2,1,2,34.12,40.05,2022,19000,36.5
8,54,2,6,11.52,13.52,2004,123456,59.0
8,8,2,2,6.14,7.21,1980,100000,4.8
9,13,0,4,5.95,6.98,2018,5000,0.08
8,54,2,2,10.68,12.54,2005,50000,20.0
17,32,1,2,5.1,5.99,2009,833200,5.5
8,54,2,6,10.39,12.2,2018,90000,15.0
8,8,2,6,10.12,11.88,2022,4740,10.0
8,42,1,2,58.13,68.25,2018,50000,65.0
8,2,1,6,8.99,10.56,2012,59000,15.0
8,19,2,6,25.09,29.45,2022,30000,28.0
17,32,1,6,6.09,7.15,2007,1234,4.8
13,13,1,3,11.45,13.44,2014,230000,11.0
8,42,1,3,65.28,76.63,2009,35000,102.0
8,53,1,7,18.47,21.68,2018,18000,18.9
8,19,2,6,25.66,30.12,2010,55555,34.0
17,16,0,6,15.8,18.55,2011,54678,14.5
8,56,0,6,13.38,15.71,2017,4667,13.8
8,42,1,3,69.27,81.32,2021,23000,0.1
8,11,2,5,9.57,11.23,2002,8888,3.0
8,2,1,2,15.9,18.67,2015,14000,22.8
8,2,1,2,15.9,18.67,2015,25,123.456789
17,33,1,6,3.16,3.71,2008,40000,3.8
15,49,0,3,58.73,68.95,1999,50000,225.0
17,32,1,6,4.62,5.42,2008,515,4.6
8,53,1,2,21.1,24.77,2019,15000,22.5
8,51,1,3,36.19,42.49,2024,14000,48.0
8,54,2,2,11.52,13.52,2004,0,23.5
8,57,0,7,27.64,32.44,2024,4400,31.0
8,47,0,6,25.49,29.92,2022,140000,38.5
8,47,0,3,25.49,29.92,2022,20000,30.0
14,13,0,5,10.26,12.04,2010,13000,25.0
17,46,2,7,7.61,8.93,2014,99000,8.9
17,46,2,7,7.61,8.93,2014,99000,9.0
17,32,1,6,21.66,25.43,2024,26000,9.8
8,54,2,6,7.65,8.98,2013,35000,10.5
13,52,1,3,22.27,26.15,2015,23000,33.0
8,42,1,6,55.2,64.8,2017,76000,73.0
8,19,2,2,26.58,31.2,2023,40000,25.5
8,42,1,6,69.27,81.32,2021,2554,68.0
8,53,1,6,16.92,19.86,2017,69000,18.9
8,27,1,6,16.53,19.41,2016,37422,20.5
10,13,2,2,20.24,23.76,2023,49116,18.0
8,42,1,3,44.41,52.13,2016,20000,140.0
8,5,2,6,9.35,10.98,2018,35000,12.0
8,42,1,6,111.87,131.33,2011,15000,82.0
8,36,1,6,16.42,19.28,2012,500000,6.0
8,19,2,6,29.62,34.78,2024,7000,42.0
17,35,1,2,19.64,23.05,2018,52000,22.68
8,51,1,10,50.14,58.86,2017,51000,60.0
17,25,2,2,7.7,9.04,2013,12345,6.9
8,13,0,2,66.24,77.76,2007,60000,39.0
8,11,2,2,14.49,17.01,1996,68000,38.0
8,54,2,6,9.83,11.54,2017,41318,12.0
8,19,2,6,18.32,21.5,2018,24000,27.0
8,56,0,6,13.38,15.71,2017,30000,23.0
8,54,2,2,7.27,8.54,2007,4000,8.0
17,22,1,6,40.49,47.53,2024,2000,46.8
8,42,1,6,44.41,52.13,2016,112655,43.0
8,56,0,6,13.38,15.71,2017,26000,16.0
13,28,1,9,6.86,8.05,2012,10000,8.0
8,12,1,3,13.28,15.59,2006,20000,15.0
